卫视频道,#genre#
浙江卫视,http://121.29.169.89:8888/rtp/239.253.92.90:8020
江西卫视,http://121.29.215.236:8888/rtp/239.253.92.19:6145
浙江卫视,http://121.29.169.89:7777/rtp/239.253.92.90:8020
安徽卫视,http://124.135.64.121:22222/rtp/239.253.254.87:8000
河北卫视,http://171.119.207.220:6000/rtp/226.0.2.178:9336
辽宁卫视,http://124.135.64.121:22222/rtp/239.253.254.92:8000
天津卫视,http://121.29.169.89:7777/rtp/239.253.92.91:8021
东南卫视,http://121.29.215.236:8888/rtp/239.253.92.201:6146
河南卫视,http://42.238.246.97:8012/rtp/225.1.4.254:1300
湖北卫视,http://121.29.169.117:8888/rtp/239.253.92.210:6567
吉林卫视,http://121.29.215.236:8888/rtp/239.253.92.202:6147
湖北卫视,http://121.29.169.205:8888/rtp/239.253.92.210:6567
陕西卫视,http://114.254.37.241:18888/rtp/239.3.1.41:8140
湖北卫视,http://118.78.196.46:55555/rtp/226.0.2.150:9112
东南卫视,http://171.119.207.220:6000/rtp/226.0.2.188:9416
江西卫视,http://118.78.196.46:55555/rtp/226.0.2.54:8344
重庆卫视,http://121.29.169.117:7777/rtp/239.253.92.10:6053
兵团卫视,http://121.29.169.89:8888/rtp/239.253.93.176:6344
湖北卫视,http://121.29.215.236:7777/rtp/239.253.92.210:6567
湖南卫视,http://121.29.215.236:8888/rtp/239.253.92.84:8015
四川卫视,http://171.119.205.58:6000/rtp/226.0.2.179:9344
山东教育卫视,http://121.29.169.205:7777/rtp/239.253.92.106:6135
江苏卫视,http://121.29.169.89:8888/rtp/239.253.92.88:8018
北京卫视,http://42.238.246.97:8012/rtp/225.1.4.81:1110
广东卫视,http://114.254.37.241:18888/rtp/239.3.1.142:8048
河南卫视,http://121.29.169.205:7777/rtp/239.253.92.137:6144
浙江卫视,http://121.29.169.205:8888/rtp/239.253.92.90:8020
湖南卫视,http://121.29.169.205:8888/rtp/239.253.92.84:8015
山东卫视,http://171.119.205.171:6000/rtp/226.0.2.149:9104
北京卫视,http://171.119.207.220:6000/rtp/226.0.2.177:9328
湖北卫视,http://121.29.169.205:7777/rtp/239.253.92.210:6567
安徽卫视,http://121.29.169.89:7777/rtp/239.253.92.209:6566
黑龙江卫视,http://121.29.133.109:8888/rtp/239.253.92.85:8016
兵团卫视,http://121.29.215.236:7777/rtp/239.253.93.176:6344
贵州卫视,http://121.29.169.205:7777/rtp/239.253.92.105:6055
海南卫视,http://121.29.169.89:7777/rtp/239.253.93.155:6323
山东卫视,http://171.119.207.220:6000/rtp/226.0.2.149:9104
江西卫视,http://111.196.129.187:20000/rtp/239.3.1.123:8164
山西卫视,http://123.4.213.228:8188/rtp/225.1.4.38:1067
北京卫视,http://124.135.64.121:22222/rtp/239.253.254.85:8000
辽宁卫视,http://121.29.169.89:7777/rtp/239.253.92.115:6056
新疆卫视,http://114.254.37.241:18888/rtp/239.3.1.48:8160
浙江卫视,http://171.119.205.58:6000/rtp/226.0.2.144:9064
西藏卫视,http://123.4.213.228:8188/rtp/225.1.4.46:1075
黑龙江卫视,http://121.29.169.89:7777/rtp/239.253.92.85:8016
山东教育卫视,http://121.29.169.205:8888/rtp/239.253.92.106:6135
黑龙江卫视,http://114.254.37.241:18888/rtp/239.3.1.133:8016
广西卫视,http://123.4.213.228:8188/rtp/225.1.4.31:1060
安徽卫视,http://171.119.205.171:6000/rtp/226.0.2.145:9072
江苏卫视,http://171.119.205.154:6000/rtp/226.0.2.176:9320
湖北卫视,http://171.119.207.220:6000/rtp/226.0.2.150:9112
云南卫视,http://42.238.246.97:8012/rtp/225.1.4.152:1307
天津卫视,http://42.238.246.97:8012/rtp/225.1.4.86:1115
东方卫视,http://121.29.169.205:7777/rtp/239.253.92.89:8019
湖南卫视,http://122.189.103.140:8010/rtp/228.0.0.61:6108
山东卫视,http://122.189.103.140:8010/rtp/228.0.0.121:6108
河南卫视,http://114.254.37.241:18888/rtp/239.3.1.27:8128
湖南卫视,http://121.29.169.89:7777/rtp/239.253.92.84:8015
海南卫视,http://171.119.205.171:6000/rtp/226.0.2.212:9608
三沙卫视,http://122.189.103.140:8010/rtp/228.0.0.174:7174
吉林卫视,http://121.29.169.117:8888/rtp/239.253.92.202:6147
甘肃卫视,http://122.189.103.140:8010/rtp/228.0.0.57:6108
黑龙江卫视,http://121.29.169.205:7777/rtp/239.253.92.85:8016
湖北卫视,http://121.29.169.89:7777/rtp/239.253.92.210:6567
贵州卫视,http://171.119.207.220:6000/rtp/226.0.2.180:9352
江西卫视,http://121.29.169.89:8888/rtp/239.253.92.19:6145
河南卫视,http://171.119.205.154:6000/rtp/226.0.2.52:8328
东方卫视,http://121.29.169.117:7777/rtp/239.253.92.89:8019
