数字频道,#genre#
天元围棋,http://1.58.246.23:4000/rtp/229.58.190.6:5000
金鹰纪实,http://175.8.129.208:4000/udp/239.76.253.110:9000
金鹰纪实,http://58.46.69.155:8188/udp/239.76.253.110:9000
魅力足球,http://1.58.243.207:4000/rtp/229.58.190.112:5000
天元围棋,http://218.8.87.96:4000/rtp/229.58.190.6:5000
天元围棋,http://27.184.65.110:58888/rtp/239.254.201.156:6270
天元围棋,http://1.58.243.207:4000/rtp/229.58.190.6:5000
金鹰纪实,http://218.1.138.50:4022/rtp/239.45.1.45:5140
快乐垂钓,http://183.166.144.138:8688/rtp/238.1.79.31:4360
快乐垂钓,http://1.58.246.23:4001/rtp/229.58.190.113:5000
快乐垂钓,http://1.58.243.207:4001/rtp/229.58.190.113:5000
快乐垂钓,http://106.116.241.211:9999/rtp/239.254.200.229:6257
金鹰纪实,http://27.184.65.110:58888/rtp/239.254.200.189:6293
金鹰纪实,http://106.118.22.160:8188/rtp/239.254.200.189:6293
天元围棋,http://1.58.243.207:4001/rtp/229.58.190.6:5000
金鹰纪实,http://111.224.75.87:4022/rtp/239.254.200.189:6293
快乐垂钓,http://27.184.65.110:58888/rtp/239.254.200.229:6257
快乐垂钓,http://1.58.243.207:4000/rtp/229.58.190.113:5000
金鹰纪实,http://219.144.113.58:8888/rtp/239.112.205.203:5140
天元围棋,http://1.58.246.23:4001/rtp/229.58.190.6:5000
天元围棋,http://171.213.222.241:4022/udp/239.93.42.55:5140
天元围棋,http://171.213.211.24:4022/udp/239.93.42.55:5140
中国天气,http://58.46.69.155:8188/udp/239.76.253.61:9000
魅力足球,http://1.58.246.23:4001/rtp/229.58.190.112:5000
快乐垂钓,http://220.169.100.41:10087/udp/239.76.246.5:1234
快乐垂钓,http://106.118.22.160:8188/rtp/239.254.200.229:6257
金鹰纪实,http://111.226.232.182:10010/rtp/239.254.200.189:6293
快乐垂钓,http://1.58.246.23:4000/rtp/229.58.190.113:5000
快乐垂钓,http://220.169.100.41:10087/udp/239.76.253.5:9000
中国天气,http://220.169.100.41:10087/udp/239.76.246.61:1234
金鹰纪实,http://125.76.196.174:8899/rtp/239.112.205.203:5140
快乐垂钓,http://220.169.100.41:10087/udp/239.76.252.127:9000
金鹰纪实,http://106.116.127.92:4022/rtp/239.254.200.189:6293
金鹰纪实,http://117.30.59.104:18888/rtp/239.61.3.7:9560
金鹰纪实,http://222.169.99.87:7777/rtp/239.37.0.161:5540
天元围棋,http://106.118.22.160:8188/rtp/239.254.201.156:6270
金鹰纪实,http://106.116.241.211:9999/rtp/239.254.200.189:6293
天元围棋,http://106.116.241.211:9999/rtp/239.254.201.156:6270
金色学堂,http://180.165.24.227:4022/rtp/239.45.0.9:5140
快乐垂钓,http://117.57.37.24:4022/rtp/238.1.79.31:4360
睛彩篮球,http://114.241.220.153:4022/rtp/239.3.1.126:8001
法治天地,http://218.1.138.50:4022/rtp/239.45.1.46:5140
快乐垂钓,http://27.189.126.108:4022/rtp/239.254.200.229:6257
求索纪录,http://110.157.221.183:8088/udp/238.125.5.108:5140
金鹰纪实,http://183.162.205.235:4022/rtp/238.1.79.9:4184
求索纪录,http://49.113.178.226:4022/udp/238.125.5.108:5140
金鹰纪实,http://117.57.37.24:4022/rtp/238.1.79.9:4184
都市剧场,http://218.1.138.50:4022/rtp/239.45.3.136:5140
金鹰纪实,http://180.165.24.227:4022/rtp/239.45.1.45:5140
快乐垂钓,http://110.157.221.183:8088/udp/238.125.5.103:5140
法治天地,http://180.165.24.227:4022/rtp/239.45.1.46:5140
快乐垂钓,http://49.113.178.226:4022/udp/238.125.5.103:5140
欢笑剧场,http://180.165.24.227:4022/rtp/239.45.3.196:5140
金色学堂,http://218.1.138.50:4022/rtp/239.45.0.9:5140
金鹰纪实,http://58.46.210.223:4022/udp/239.76.246.110:1234
中国天气,http://58.46.210.223:4022/udp/239.76.246.61:1234
欢笑剧场,http://218.1.138.50:4022/rtp/239.45.3.196:5140
金鹰纪实,http://49.113.178.226:4022/udp/238.125.5.71:5140
五星体育,http://218.1.138.50:4022/rtp/239.45.3.210:5140
金鹰纪实,http://110.157.221.183:8088/udp/238.125.5.71:5140
快乐垂钓,http://183.162.205.235:4022/rtp/238.1.79.31:4360
金鹰纪实,http://117.13.121.247:4022/rtp/225.1.1.124:5002
天元围棋,http://27.189.126.108:4022/rtp/239.254.201.156:6270
魅力足球,http://117.13.121.247:4022/rtp/225.1.1.137:5002
快乐垂钓,http://58.46.210.223:4022/udp/239.76.253.5:9000
快乐垂钓,http://58.46.210.223:4022/udp/239.76.252.127:9000
快乐垂钓,http://58.46.210.223:4022/udp/239.76.246.5:1234
金鹰纪实,http://58.46.210.223:4022/udp/239.76.252.122:9000
金鹰纪实,http://111.162.207.216:8686/rtp/225.1.1.124:5002
金鹰纪实,http://27.189.126.108:4022/rtp/239.254.200.189:6293
