台湾频道,#genre#
Animal_Planet,http://000.hfr1107.top/tv/smt.php?id=animalplanet_twn
Discovery Asia,http://000.hfr1107.top/tv/smt.php?id=discoverytwn_twn
CI,http://000.hfr1107.top/tv/smt.php?id=ci_twn
Discovery HD,http://000.hfr1107.top/tv/smt.php?id=discoveryhd_twn
NatGeo HD,http://000.hfr1107.top/tv/smt.php?id=Natgeo
Fashion TV,http://000.hfr1107.top/tv/smt.php?id=fashiontv_twn
History,http://000.hfr1107.top/tv/smt.php?id=History
BBC Earth HD,http://000.hfr1107.top/tv/smt.php?id=bbcearth_twn
BBC Earth Lifestyle,http://000.hfr1107.top/tv/smt.php?id=bbclifestyle_twn
NatGeo Wild HD,http://000.hfr1107.top/tv/smt.php?id=Natgeowild
Animal Planet (Eng),http://000.hfr1107.top/tv/smt.php?id=AnimalPlanet
TLC,http://000.hfr1107.top/tv/smt.php?id=Tlc
Foodnetwork Hd,http://000.hfr1107.top/tv/smt.php?id=Foodnetwork
HGTV,http://000.hfr1107.top/tv/smt.php?id=HGTV

新闻频道,#genre#
Skynews,http://000.hfr1107.top/tv/smt.php?id=skynews_twn
ABC News,http://000.hfr1107.top/tv/smt.php?id=abcnews_glo
CBS HD,http://000.hfr1107.top/tv/smt.php?id=cbshd_glo
CBSN HD,http://000.hfr1107.top/tv/smt.php?id=cbsn_glo
France 24,http://000.hfr1107.top/tv/smt.php?id=france24_twn
DW (Deutsch),http://000.hfr1107.top/tv/smt.php?id=dw_twn
NHK World,http://000.hfr1107.top/tv/smt.php?id=nhkworld_japan
Fox News,http://000.hfr1107.top/tv/smt.php?id=foxnews_twn
CNN International,http://000.hfr1107.top/tv/smt.php?id=Cnn
CNN backup,http://000.hfr1107.top/tv/smt.php?id=cnn_twn
CNBC,http://000.hfr1107.top/tv/smt.php?id=cnbc_twn
CNA,http://000.hfr1107.top/tv/smt.php?id=cna
BBC World News,http://000.hfr1107.top/tv/smt.php?id=bbcnews_twn
BBC World News,http://000.hfr1107.top/tv/smt.php?id=Bbcnews
Bloomberg News,http://000.hfr1107.top/tv/smt.php?id=bloomberg_twn
Al-Jazeera,http://000.hfr1107.top/tv/smt.php?id=aljazeera_twn

儿童频道,#genre#
Baby TV Eng,http://000.hfr1107.top/tv/smt.php?id=Babytv
CBeebies,http://000.hfr1107.top/tv/smt.php?id=Cbeebies
Kids TV,http://000.hfr1107.top/tv/smt.php?id=KidsTV
