更新时间,#genre#
CETV2,http://106.116.241.211:9999/rtp/239.254.200.226:6260
CETV2,http://106.118.22.160:8188/rtp/239.254.200.226:6260
CETV2,http://219.141.45.25:8188/rtp/238.255.2.221:5999
CETV2,http://220.176.218.147:9000/rtp/239.252.219.73:5140
CETV4,http://39.89.122.41:8188/rtp/239.253.254.116:8000
CETV4,http://116.23.98.153:7188/udp/239.253.43.40:5146
CETV4,http://61.140.125.229:10022/udp/239.253.43.40:5146
CETV4,http://123.4.213.228:8188/rtp/225.1.4.171:1710
CETV4,http://114.254.37.241:18888/rtp/239.3.1.56:4120
CETV4,http://222.218.122.114:8188/udp/239.81.0.246:4056
CETV4,http://42.238.246.97:8012/rtp/225.1.4.171:1710
CETV4,http://124.135.64.121:22222/rtp/239.253.254.116:8000
CETV4,http://111.196.129.187:20000/rtp/239.3.1.56:4120
CETV4,http://121.29.169.89:8888/rtp/239.253.92.200:6137
CETV4,http://117.30.59.104:18888/rtp/239.61.3.15:9608
CETV4,http://58.46.69.155:8188/udp/239.76.252.254:9000
CETV4,http://112.66.74.84:8188/rtp/239.253.64.139:5140
CETV4,http://219.141.45.102:8188/rtp/238.255.2.222:5999
CETV4,http://59.35.185.47:8188/udp/239.253.43.40:5146
CETV4,http://121.29.169.117:8888/rtp/239.253.92.200:6137
CETV4,http://121.29.169.205:8888/rtp/239.253.92.200:6137
CETV4,http://125.123.121.210:8188/udp/233.50.200.162:5140
CETV4,http://121.29.215.236:7777/rtp/239.253.92.200:6137
CETV4,http://121.29.169.89:7777/rtp/239.253.92.200:6137
CETV4,http://121.29.215.236:8888/rtp/239.253.92.200:6137
CETV4,http://115.171.80.94:1688/rtp/225.1.8.195:4120
CETV4,http://219.141.45.25:8188/rtp/238.255.2.222:5999
CETV4,http://125.76.196.61:8899/rtp/239.111.205.15:5140
CETV4,http://121.29.169.117:7777/rtp/239.253.92.200:6137
CETV4,http://116.2.167.167:4010/rtp/232.0.0.239:1234
CETV4,http://124.226.132.38:19090/udp/239.81.0.246:4056
CETV4,http://125.76.196.174:8899/rtp/239.111.205.15:5140
CETV4,http://183.130.35.79:9011/udp/233.50.200.162:5140
CETV4,http://220.176.218.147:9000/rtp/239.252.219.169:5140
CETV4,http://125.76.196.82:8899/rtp/239.111.205.15:5140
CETV4,http://222.67.24.171:1688/rtp/239.45.1.50:5140
CETV4,http://1.85.225.218:8686/rtp/239.111.205.15:5140
CETV4,http://122.189.103.140:8010/rtp/228.0.0.177:7177
CETV4,http://220.169.100.41:10087/udp/239.76.245.254:1234
CETV4,http://220.169.100.41:10087/udp/239.76.252.254:9000
CETV4,http://124.224.85.17:2000/rtp/239.121.4.199:9178
CETV4,http://58.46.69.155:8188/udp/239.76.245.254:1234
CETV4,http://117.39.35.122:4022/rtp/239.111.205.15:5140
CETV4,http://219.144.113.58:8888/rtp/239.111.205.15:5140
CETV4,http://1.58.246.23:4001/rtp/229.58.190.66:5000
CETV4,http://218.8.87.96:4000/rtp/229.58.190.66:5000
CETV4,http://1.58.246.23:4000/rtp/229.58.190.66:5000
CETV4,http://27.184.65.110:58888/rtp/239.254.200.227:6261
CETV4,http://106.59.3.132:55555/rtp/239.200.201.122:8784
CETV4,http://106.116.241.211:9999/rtp/239.254.200.227:6261
CETV4,http://175.8.129.208:4000/udp/239.76.245.254:1234
CETV4,http://111.226.232.182:10010/rtp/239.254.200.227:6261
CETV4,http://106.118.22.160:8188/rtp/239.254.200.227:6261
CETV4,http://111.224.75.87:4022/rtp/239.254.200.227:6261
CETV4,http://1.58.243.207:4001/rtp/229.58.190.66:5000
CETV4,http://1.58.243.207:4000/rtp/229.58.190.66:5000
CETV4,http://49.113.178.226:4022/udp/238.125.4.98:5140
CETV4,http://110.157.221.183:8088/udp/238.125.4.98:5140
CETV4,http://58.46.210.223:4022/udp/239.76.252.254:9000
CETV4,http://113.104.185.171:7088/udp/239.253.43.40:5146
CETV4,http://27.189.126.108:4022/rtp/239.254.200.227:6261
CETV4,http://114.241.220.153:4022/rtp/239.3.1.56:4120
CETV4,http://180.165.24.227:4022/rtp/239.45.1.50:5140
CETV4,http://218.1.138.50:4022/rtp/239.45.1.50:5140
CETV4,http://121.29.169.205:7777/rtp/239.253.92.200:6137
CETV4,http://223.198.243.166:4000/rtp/239.253.64.139:5140
CETV4,http://218.86.184.144:4022/rtp/238.255.2.222:5999
CETV4,http://218.86.187.40:8188/rtp/238.255.2.222:5999
CETV4,http://115.192.237.86:4022/udp/233.50.200.162:5140
CETV4,http://219.141.45.235:8188/rtp/238.255.2.222:5999
CETV4,http://175.8.129.208:4000/udp/239.76.252.254:9000
CCTV央视台球,http://116.23.98.153:7188/udp/239.253.43.11:5146
CCTV央视台球,http://183.164.63.167:5000/rtp/238.1.79.59:4608
CCTV央视台球,http://113.101.245.46:9988/udp/239.253.43.11:5146
CCTV央视台球,http://121.29.169.117:7777/rtp/239.253.93.231:6409
CCTV央视台球,http://61.140.125.229:10022/udp/239.253.43.11:5146
CCTV央视台球,http://117.12.150.180:4022/rtp/225.1.2.170:5002
CCTV央视台球,http://183.166.144.138:8688/rtp/238.1.79.59:4608
CCTV央视台球,http://121.29.169.205:8888/rtp/239.253.93.231:6409
CCTV央视台球,http://220.169.100.41:10087/udp/239.76.254.58:9000
CCTV央视台球,http://121.29.169.117:8888/rtp/239.253.93.231:6409
CCTV央视台球,http://121.29.169.89:8888/rtp/239.253.93.231:6409
CCTV央视台球,http://121.29.215.236:7777/rtp/239.253.93.231:6409
CCTV央视台球,http://219.141.45.25:8188/rtp/238.255.2.224:5999
CCTV央视台球,http://219.141.45.235:8188/rtp/238.255.2.224:5999
CCTV央视台球,http://121.29.169.89:7777/rtp/239.253.93.231:6409
CCTV央视台球,http://218.86.184.144:4022/rtp/238.255.2.224:5999
CCTV央视台球,http://219.141.45.102:8188/rtp/238.255.2.224:5999
CCTV央视台球,http://171.119.207.220:6000/rtp/226.0.2.216:9640
CCTV央视台球,http://61.159.134.106:4022/rtp/238.255.2.224:5999
CCTV央视台球,http://119.98.98.208:4022/rtp/239.69.1.98:10224
CCTV央视台球,http://171.119.205.171:6000/rtp/226.0.2.216:9640
CCTV央视台球,http://121.29.169.205:7777/rtp/239.253.93.231:6409
CCTV央视台球,http://114.107.45.71:8188/rtp/238.1.79.59:4608
CCTV央视台球,http://171.119.205.154:6000/rtp/226.0.2.216:9640
CCTV央视台球,http://118.78.196.46:55555/rtp/226.0.2.216:9640
CCTV央视台球,http://218.86.187.40:8188/rtp/238.255.2.224:5999
CCTV央视台球,http://58.46.69.155:8188/udp/239.76.254.58:9000
CCTV央视台球,http://175.8.129.208:4000/udp/239.76.254.58:9000
CCTV央视台球,http://116.2.167.167:4010/rtp/232.0.0.60:1234
CCTV央视台球,http://171.119.205.58:6000/rtp/226.0.2.216:9640
CCTV央视台球,http://121.29.215.236:8888/rtp/239.253.93.231:6409
CCTV央视台球,http://106.116.127.92:4022/rtp/239.254.201.171:7176
CCTV央视台球,http://221.234.128.5:4022/rtp/239.69.1.98:10224
CCTV央视台球,http://183.166.145.113:8688/rtp/238.1.79.59:4608
CCTV央视台球,http://220.176.218.147:9000/udp/239.252.219.80:5140
CCTV央视台球,http://111.224.75.87:4022/rtp/239.254.201.171:7176
